LRU序号,最后修改时间_AsiaShanghai,距审计日天数,类别,路径,大小_字节,治理状态,治理优先级,静态引用文件数,引用样例_最多3个,Last_materially_modified,建议治理动作,误删风险,说明
1,2026-04-06T11:50:44+08:00,119.81,代码,strategy/__init__.py,0,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
2,2026-04-06T11:50:44+08:00,119.81,代码,live/__init__.py,0,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
3,2026-06-26T20:09:00+08:00,38.46,工程配置,scripts/x86_live_env_audit.sh,1953,已治理：2026-07-27,P4,1,project.md,,进入近期监控；保留当前 operational entrypoint,高,引用有效且 bash 语法校验通过
4,2026-06-26T20:09:27+08:00,38.46,工程配置,scripts/x86_live_benchmark.sh,3261,已治理：2026-07-27,P4,1,project.md,,进入近期监控；保留当前 operational entrypoint,高,引用有效且 bash 语法校验通过
5,2026-06-26T20:22:04+08:00,38.45,工程配置,scripts/x86_live_soak.sh,1965,已治理：2026-07-27,P4,1,project.md,,进入近期监控；保留当前 operational entrypoint,高,引用有效且 bash 语法校验通过
6,2026-06-27T13:04:52+08:00,37.76,测试,tests/test_adverse_markout_hybrid_pause.py,1676,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
7,2026-06-29T02:47:20+08:00,36.19,测试,tests/test_l2_depth_dedup.py,989,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
8,2026-06-29T08:46:21+08:00,35.94,代码,models/alpha_hypothesis_registry.py,12382,已治理：2026-07-27,P4,0,,,保留为 diagnostic registry；不得代替 experiment manifest,高,当前 roadmap 仍保留其诊断职责
9,2026-06-29T21:14:58+08:00,35.42,代码,models/backtest_utils.py,1782,已治理：2026-07-27,P4,4,models/backtest.py | models/backtest_ml.py | models/backtest_tick.py,,保留共享 utility；合并前先迁移全部调用方,高,多个回测入口仍导入
10,2026-06-29T21:18:13+08:00,35.41,代码,bench/bench_quote_core.py,5468,已治理：2026-07-27,P4,1,cpp/README.md,,保留当前 benchmark；结果必须附环境身份,高,当前 C++ 文档引用
11,2026-06-29T21:18:22+08:00,35.41,代码,bench/bench_tick_replay.py,7264,已治理：2026-07-27,P4,1,cpp/README.md,,保留当前 benchmark；结果必须附环境身份,高,当前 C++ 文档引用
12,2026-06-30T21:58:13+08:00,34.39,代码,models/audit/__init__.py,70,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
13,2026-07-06T12:30:35+08:00,28.78,代码,narrowgate/__init__.py,327,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
14,2026-07-06T12:31:16+08:00,28.78,代码,examples/order_level_score_demo.py,1203,已治理：2026-07-27,P4,4,.github/workflows/ci.yml | README.md | README.zh-CN.md,,保留 public/CI example；随 CLI contract 复核,高,CI 与双语 README 均有消费者
15,2026-07-06T12:31:44+08:00,28.78,工程配置,Dockerfile,719,已治理：2026-07-27,P4,1,.devcontainer/devcontainer.json,,保留 packaging smoke；镜像构建变更时复核,中,Python 3.11 满足项目 >=3.10 契约
16,2026-07-06T12:31:44+08:00,28.78,代码,.devcontainer/devcontainer.json,454,待复核：旧 mtime 当前语义未确认,P2,0,,,检查 imports/CLI/tests/config/artifact manifests 与 superseding 结论后再分类,中,年龄只决定复核顺序；零静态引用也不构成删除授权
17,2026-07-06T12:33:24+08:00,28.78,代码,data/__init__.py,54,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
18,2026-07-06T12:33:24+08:00,28.78,代码,features/__init__.py,68,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
19,2026-07-06T12:33:24+08:00,28.78,代码,models/__init__.py,61,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
20,2026-07-06T12:35:26+08:00,28.78,代码,narrowgate/__main__.py,79,已治理：2026-07-27,P4,0,,,保留动态 python -m narrowgate entrypoint,高,.venv CLI help 校验通过；静态零引用属正常
21,2026-07-08T17:53:08+08:00,26.56,测试,tests/test_live_replace_throttle.py,6071,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
22,2026-07-11T10:11:53+08:00,23.88,测试,tests/test_bybit_reference_download.py,4573,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
23,2026-07-11T10:12:15+08:00,23.88,代码,data/download_bybit_reference.py,15046,已治理：2026-07-27,P4,3,pipeline.py | tests/test_bitget_reference_features.py | tests/test_bybit_reference_download.py,,保留为 Bybit spot/perp 历史 archive 重建入口,高,formal external feature pipeline 与测试仍依赖
24,2026-07-11T12:36:53+08:00,23.78,代码,data/download_okx_archive.py,7624,已治理：2026-07-27,P4,2,pipeline.py | tests/test_okx_reference.py,,保留为 OKX UTC+8 双源日 archive 下载入口,高,formal pipeline 仍需它重建 UTC good day
25,2026-07-11T13:09:57+08:00,23.75,代码,market_fusion.py,5641,已治理：2026-07-27,P4,12,Dockerfile | Makefile | project.md,,保留为 venue-aware market identity 权威模块,高,live、data、strategy、model 和 tests 广泛依赖
26,2026-07-11T14:41:03+08:00,23.69,代码,strategy/global_reference.py,9300,已治理：2026-07-27,P4,5,project.md | research/families/f04_external_market_alpha/docs/global_market_reference_review_memo_20260711.md | research/families/f07_active_order_continuation/docs/state_conditioned_market_making_literature_map_20260718.md,,保留当前 live-shadow global reference state builder,高,SignalEngine 生成且 live main 消费；2-of-3、freshness、basis 与冲突状态受测试保护
27,2026-07-11T14:41:03+08:00,23.69,测试,tests/test_global_reference.py,5799,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
28,2026-07-11T16:20:23+08:00,23.62,代码,live/venues/__init__.py,495,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
29,2026-07-11T16:41:41+08:00,23.61,代码,scripts/preflight_external_venues.py,3320,已治理：2026-07-27,P4,3,README.md | README.zh-CN.md | docs/market_data.md,,保留 public-only external connector preflight,高,无账户或订单权限；CLI 与六源/global-flow 契约有效
30,2026-07-11T16:45:04+08:00,23.6,代码,scripts/configure_public_reference_ws.py,7921,已治理：2026-07-27,P4,1,docs/market_data.md,,保留六条公开 WS source 的原子配置迁移工具,高,当前模板 dry-run 无差异；备份和原子替换路径仍有运维价值
31,2026-07-11T22:29:20+08:00,23.37,代码,research/system_engineering/audit/receive_time_tape.py,18042,已治理：2026-07-27,P4,7,research/families/f05_fill_quality_quote_ev/audit/fill_toxicity.py | research/families/f08_side_taker_lifecycle/audit/historical_live_aggtrade_parity.py | research/families/f08_side_taker_lifecycle/audit/live_taker_flow_parity.py,,保留 receive/feature-ready latency 与 leader-survival 权威审计实现,高,多个 causal audit 和 market-tape test 仍直接调用
32,2026-07-11T23:20:23+08:00,23.33,代码,cpp/narrowgate_cpp/global_flow.hpp,6802,已治理：2026-07-27,P4,2,cpp/narrowgate_cpp/bindings.cpp | cpp/narrowgate_cpp/global_flow.cpp,,保留 native global-flow ABI 与 fixed-capacity state contract,高,C++ implementation/binding 和 Python parity tests 共同依赖
33,2026-07-11T23:20:23+08:00,23.33,代码,cpp/narrowgate_cpp/global_flow.cpp,12447,已治理：2026-07-27,P4,0,,,保留 native fixed-array global-flow 热路径实现,高,live strict profile、bindings 与 parity tests 使用
34,2026-07-11T23:41:38+08:00,23.32,测试,tests/test_live_runtime_profile.py,2773,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
35,2026-07-11T23:45:04+08:00,23.31,代码,bench/bench_global_flow_batch.py,6928,已治理：2026-07-27,P4,3,README.md | README.zh-CN.md | research/system_engineering/docs/native_global_flow_batch_soak_20260711.md,,保留环境标记的 native/Python global-flow benchmark,高,当前文档和 regression path 使用；性能结论仍须绑定环境身份
36,2026-07-11T23:55:58+08:00,23.31,测试,tests/test_live_soak_analysis.py,1215,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
37,2026-07-12T01:09:31+08:00,23.25,测试,tests/test_multi_market_policy.py,3684,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
38,2026-07-12T01:14:22+08:00,23.25,代码,strategy/multi_market_policy.py,11922,已治理：2026-07-27,P4,2,models/backtest_tick.py | tests/test_multi_market_policy.py,,保留默认 no-op 的 multi-market policy 研究边界,高,replay 与 tests 仍依赖；存在不代表具 live promotion 权限
39,2026-07-12T01:48:17+08:00,23.23,代码,strategy/campaign_repair.py,11054,已治理：2026-07-27,P4,10,models/backtest_tick.py | research/families/f01_fixed_parameter_racing/campaign_outcome_replay_audit.py | research/families/f09_campaign_action_uplift/audit/campaign_repair_probability.py,,保留 causal campaign-repair feature/model 与 history contract,高,formal replay 和 campaign audit 仍直接消费；预测不自动授权 action
40,2026-07-12T02:08:18+08:00,23.21,测试,tests/test_campaign_repair.py,3552,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
41,2026-07-12T09:23:28+08:00,22.91,代码,research/families/f09_campaign_action_uplift/audit/post_fill_stop_add_paired.py,16375,受保护：历史/冻结证据,P4,2,research/governance/migrations/layout_v2.json | tests/test_post_fill_stop_add_paired.py,,保留为已关闭 stop-add family 的冻结 paired-report 复现器,中,不具当前 promotion 权限；删除需先退役 campaign-outcome 中对应历史 arm
42,2026-07-12T13:50:17+08:00,22.73,代码,scripts/configure_receive_time_capture.py,6804,已治理：2026-07-27,P4,2,scripts/run_bounded_receive_time_capture.sh | tests/test_configure_receive_time_capture.py,,保留 bounded receive-time capture 的原子配置工具,高,当前 supervisor 和测试直接依赖
43,2026-07-12T13:50:29+08:00,22.73,测试,tests/test_configure_receive_time_capture.py,1810,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
44,2026-07-12T13:56:43+08:00,22.72,代码,strategy/global_flow.py,21298,已治理：2026-07-27,P4,12,bench/bench_global_flow_batch.py | models/backtest_tick.py | project.md,,保留 Python/native 共用 GlobalFlowState 权威接口,高,live SignalEngine、replay、benchmark 和 parity tests 均依赖
45,2026-07-12T13:56:43+08:00,22.72,测试,tests/test_global_flow.py,6102,保留：回归/合同测试,P2,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
46,2026-07-14T15:06:41+08:00,20.67,代码,research/families/f09_campaign_action_uplift/causal_path_features.py,13509,已治理：2026-07-27,P4,10,docs/audit_entrypoints_20260630.md | models/backtest_tick.py | research/families/f09_campaign_action_uplift/audit/enrich_safe_add_rearm_paths.py,,保留 shock/refill/recovery 的共享 causal path 实现,高,formal replay 与多个 action panel 使用；所有事件受 decision timestamp 截止
47,2026-07-15T00:30:19+08:00,20.28,代码,strategy/state_conditioned_quote_policy.py,18120,已治理：2026-07-27,P4,12,models/backtest_tick.py | models/replay_policies.py | project.md,,保留 strict artifact gating 与 baseline fallback runtime,高,active 模式要求 promotion identity；默认/不支持状态回退 baseline
48,2026-07-15T20:29:41+08:00,19.45,测试,tests/test_alpha_evidence_units.py,1362,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
49,2026-07-15T23:04:12+08:00,19.34,代码,research/system_engineering/audit/rest_latency_calibration.py,5816,已治理：2026-07-27,P4,2,research/governance/migrations/layout_v2.json | tests/test_rest_latency_calibration.py,,保留 new/cancel ACK latency artifact 校准入口,高,queue/lifecycle replay 仍需环境绑定分布
50,2026-07-17T05:52:25+08:00,18.06,代码,research/families/f09_campaign_action_uplift/audit/post_fill_response_kernel.py,34682,已治理：2026-07-27,P4,2,research/governance/migrations/layout_v2.json | tests/test_post_fill_response_kernel.py,,保留 research-only Hawkes/response diagnostic fitter,中,输出固定为 research_only；启用 runtime 前仍须通过 paired action evidence
51,2026-07-17T07:18:49+08:00,18.0,测试,tests/test_common_side_policy.py,2424,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
52,2026-07-17T13:52:20+08:00,17.72,代码,models/queue_calibration.py,38418,已治理：2026-07-27,P4,5,models/backtest_config.py | models/backtest_ml.py | models/backtest_tick.py,,保留 strict queue artifact loader、validator 与 regime lookup,高,formal replay 仍依赖 q0.70 artifact identity
